NUM,NAME,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,OBP,SLG,AVG,GIDP,SAC,SF,BB,IBB,HBP,CS,GO,AO,G/F,SB%,TA,SSA,year
68,?¸­ ¦Ë °a,34,55,43,4,6,11,10,1,0,0,12,11,3,0.418,0.279,0.256,0,0,0,11,0,1,0,10,11,0.909,1,0.844,287.81,2017
68,?¼B ªÜ »¨,34,97,88,10,10,21,15,4,1,1,30,27,1,0.302,0.341,0.239,2,1,0,8,0,0,0,19,21,0.905,1,0.565,338.64,2017
70,?¶§ «a «Â,33,84,76,10,11,19,13,4,1,1,28,22,2,0.31,0.368,0.25,3,0,1,4,0,3,0,13,23,0.565,1,0.617,348,2017
70,?³¢ ¥Ã ºû,33,95,84,5,12,20,17,3,0,0,23,14,3,0.312,0.274,0.238,3,2,0,9,0,0,2,33,17,1.941,0.6,0.507,286.1,2017
70,?¼ï Û_ µ¾,33,82,73,4,15,22,18,3,1,0,27,23,4,0.37,0.37,0.301,1,1,0,8,0,0,0,16,12,1.333,1,0.75,348.37,2017
73,?²ø Â@ ³Í,32,81,71,3,7,12,8,4,0,0,16,19,0,0.203,0.225,0.169,0,7,0,3,0,0,0,17,23,0.739,0,0.322,200.01,2017
74,?ªL ©ú ªN,27,72,68,5,5,13,9,2,1,1,20,20,0,0.222,0.294,0.191,3,0,1,3,0,0,0,20,16,1.25,0,0.397,256.18,2017
75,?¤ý «Â ±á,26,113,100,16,13,28,21,6,1,0,36,27,4,0.339,0.36,0.28,1,1,2,10,0,0,0,26,22,1.182,1,0.685,396,2017
76,?°ª °ê ½÷,25,103,93,13,9,19,9,7,0,3,35,20,0,0.272,0.376,0.204,2,0,1,9,0,0,0,18,37,0.486,0,0.579,364.3,2017
77,?Áé ©Ó ¯§,24,50,43,4,7,9,7,2,0,0,11,17,0,0.32,0.256,0.209,1,0,0,6,0,1,0,8,9,0.889,0,0.514,240.3,2017
77,?¶À ®¦ ½ç,24,46,36,2,5,4,3,1,0,0,5,9,0,0.267,0.139,0.111,2,1,1,7,0,1,2,11,13,0.846,0,0.361,126.11,2017
77,?¼ï «Û §Ê,24,59,50,5,4,7,4,1,2,0,12,17,0,0.254,0.24,0.14,1,0,1,8,0,0,0,16,11,1.455,0,0.455,177,2017
80,?³¯ ­« ¦Ð,23,53,47,5,7,14,12,2,0,0,16,16,0,0.353,0.34,0.298,1,2,0,3,0,1,0,12,6,2,0,0.588,338.87,2017
81,?½² «³ ¥È,21,35,32,2,4,5,2,3,0,0,8,9,0,0.229,0.25,0.156,3,0,0,2,0,1,0,9,9,1,0,0.367,174.25,2017
82,?³¯ ­« §Ê,20,50,43,4,7,10,6,3,0,1,16,14,1,0.298,0.372,0.233,2,3,0,2,0,2,0,14,5,2.8,1,0.6,288.56,2017
82,?±i µú º~,20,67,56,7,10,15,7,7,0,1,25,13,0,0.364,0.446,0.268,0,1,1,9,0,0,0,19,10,1.9,0,0.829,347.86,2017
84,?·¨ ©Ó Â@,18,52,46,4,4,10,7,3,0,0,13,11,0,0.288,0.283,0.217,2,0,1,5,0,0,0,12,14,0.857,0,0.474,250.39,2017
85,?±i ¶{ ³Ô,17,35,32,1,3,4,4,0,0,0,4,10,0,0.176,0.125,0.125,0,1,0,1,0,1,0,7,11,0.636,0,0.214,134,2017
85,?³¯ ¤l ÂE,17,52,47,2,5,8,4,3,0,1,14,19,1,0.25,0.298,0.17,2,0,0,4,0,1,0,13,7,1.857,1,0.488,214.21,2017
87,?¥Û µ¾ ¦t,15,24,22,4,3,2,2,0,0,0,2,6,0,0.167,0.091,0.091,0,0,0,1,0,1,0,8,6,1.333,0,0.2,112.91,2017
88,?ªL ¥ß,13,53,47,11,12,16,12,2,0,2,24,15,2,0.415,0.511,0.34,2,0,0,6,0,0,1,9,7,1.286,0.667,0.941,459.43,2017
