NUM,NAME,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,OBP,SLG,AVG,GIDP,SAC,SF,BB,IBB,HBP,CS,GO,AO,G/F,SB%,TA,SSA,year,team
101,?¸­¦Ë°a,3,4,4,0,1,1,1,0,0,0,1,2,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,1,0,0,0.333,251,2018,Lmg
101,?¶¾°·®x,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2018,Lmg
105,?±i¶{³Ô,2,7,7,0,1,1,1,0,0,0,1,1,0,0.143,0.143,0.143,0,0,0,0,0,0,0,1,4,0.25,0,0.167,143.86,2018,Lmg
105,?±iµ¤³Í,2,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2018,Uni
105,?ªL§Ó¬v,2,5,5,1,2,2,2,0,0,0,2,0,0,0.4,0.4,0.4,0,0,0,0,0,0,0,3,0,0,0,0.667,407,2018,Fb
105,?ªLª¾ÅA,2,5,4,3,1,1,0,0,0,1,4,2,0,0.4,1,0.25,0,0,0,1,0,0,0,1,0,0,0,1.667,289,2018,Lmg
105,?³¯¶Ô©v,2,3,3,0,0,1,1,0,0,0,1,0,0,0.333,0.333,0.333,0,0,0,0,0,0,0,2,0,0,0,0.5,334.33,2018,Fb
110,?Á§±©¤¤,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2018,Uni
110,?½²«³¥È,1,3,2,0,1,0,0,0,0,0,0,1,0,0.333,0,0,1,0,0,0,0,1,0,1,0,0,0,0.333,0,2018,Uni
110,?³¯µ[,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Bro
