NUM,NAME,G,GS,GR,CG,SHO,NBB,W,L,SV,BS,HLD,IP,WHIP,ERA,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,AO,G/F,year,team
67,?¹ù¤å´­,9,0,9,0,0,0,1,0,1,0,0,8.1,1.92,12.96,43,162,11,2,5,1,1,4,1,0,12,12,7,11,0.636,2018,Uni
67,?©P½U,9,7,2,0,0,0,3,4,0,0,0,38,1.84,4.74,183,659,59,9,11,1,3,13,0,0,28,20,60,35,1.714,2018,Bro
67,?­S¥É¬ê,9,0,9,0,0,0,0,0,0,0,0,9.2,2.07,10.24,50,195,14,3,6,0,0,4,0,0,15,11,13,13,1,2018,Fb
70,?³¯±Ó½ç,7,0,7,0,0,0,0,0,0,0,0,7.1,1.36,3.68,33,96,8,0,2,1,0,1,2,0,5,3,13,8,1.625,2018,Lmg
70,?´^ÃÑ¿o,7,0,7,0,0,0,0,0,0,0,0,5.2,1.94,7.94,28,118,10,0,1,0,0,4,0,0,5,5,9,4,2.25,2018,Bro
70,?¤ýÂEµ{,7,0,7,0,0,0,0,1,1,1,0,6,2.17,12,29,98,7,1,6,0,0,4,2,0,8,8,8,4,2,2018,Bro
70,?³¯¥KªB,7,6,1,0,0,0,0,2,0,1,0,27.1,1.79,7.24,129,476,38,4,11,0,2,13,3,0,27,22,39,26,1.5,2018,Fb
70,?´^¥@ªN,7,0,7,0,0,0,0,0,0,0,0,10.2,1.31,5.91,45,180,7,2,7,0,0,9,0,0,7,7,9,13,0.692,2018,Fb
70,?³ìµn,7,6,1,0,0,0,2,5,0,0,0,37.2,1.65,5.97,169,614,55,3,7,0,0,31,2,0,29,25,42,28,1.5,2018,Fb
76,?ªL§JÁ¾,6,0,6,0,0,0,0,0,0,1,0,6,2.5,9,34,127,13,2,2,0,0,2,2,0,9,6,10,6,1.667,2018,Fb
76,?¦w¨f,6,5,1,0,0,0,3,2,0,0,0,30,1.47,5.4,133,481,38,4,6,0,0,17,0,0,19,18,31,35,0.886,2018,Uni
76,?¾G©Ó¯E,6,0,6,0,0,0,0,0,0,0,0,5.1,2.06,8.44,25,100,9,1,2,0,0,3,0,0,5,5,2,9,0.222,2018,Lmg
79,?³¯¨|°a,5,1,4,0,0,0,1,0,0,1,0,8,2.63,9,46,166,14,0,7,0,0,6,0,0,10,8,5,13,0.385,2018,Uni
79,?¬x¤ßñ¯,5,3,2,0,0,0,1,1,0,0,0,21,1.48,3.43,96,355,27,2,4,0,2,14,1,0,13,8,19,30,0.633,2018,Uni
